aug_kl   AUC 0.4928, Accuracy 0.5220, TPR@5% FPR of 0.0405
ppl   AUC 0.5637, Accuracy 0.5625, TPR@5% FPR of 0.0811
Min_0% Prob   AUC 0.5586, Accuracy 0.5541, TPR@5% FPR of 0.0507
Min_5.0% Prob   AUC 0.5586, Accuracy 0.5541, TPR@5% FPR of 0.0507
Min_10.0% Prob   AUC 0.5626, Accuracy 0.5625, TPR@5% FPR of 0.0676
Min_20.0% Prob   AUC 0.5588, Accuracy 0.5524, TPR@5% FPR of 0.0709
Min_30.0% Prob   AUC 0.5564, Accuracy 0.5608, TPR@5% FPR of 0.0642
Min_40.0% Prob   AUC 0.5563, Accuracy 0.5591, TPR@5% FPR of 0.0574
Min_50.0% Prob   AUC 0.5550, Accuracy 0.5591, TPR@5% FPR of 0.0743
Min_60.0% Prob   AUC 0.5554, Accuracy 0.5541, TPR@5% FPR of 0.0878
Min_70.0% Prob   AUC 0.5573, Accuracy 0.5541, TPR@5% FPR of 0.0811
Min_80.0% Prob   AUC 0.5601, Accuracy 0.5557, TPR@5% FPR of 0.0811
Min_90.0% Prob   AUC 0.5625, Accuracy 0.5608, TPR@5% FPR of 0.0811
Modified_entropy   AUC 0.5603, Accuracy 0.5557, TPR@5% FPR of 0.0946
Modified_renyi_05   AUC 0.5603, Accuracy 0.5524, TPR@5% FPR of 0.0878
Modified_renyi_2   AUC 0.5612, Accuracy 0.5524, TPR@5% FPR of 0.0878
Max_Prob_Gap   AUC 0.5973, Accuracy 0.5878, TPR@5% FPR of 0.0845
Max_0% renyi_05   AUC 0.5630, Accuracy 0.5507, TPR@5% FPR of 0.0473
Max_0% renyi_1   AUC 0.5509, Accuracy 0.5541, TPR@5% FPR of 0.0642
Max_0% renyi_2   AUC 0.5451, Accuracy 0.5422, TPR@5% FPR of 0.0507
Max_0% renyi_inf   AUC 0.5563, Accuracy 0.5524, TPR@5% FPR of 0.0507
Max_5.0% renyi_05   AUC 0.5630, Accuracy 0.5507, TPR@5% FPR of 0.0473
Max_5.0% renyi_1   AUC 0.5509, Accuracy 0.5541, TPR@5% FPR of 0.0642
Max_5.0% renyi_2   AUC 0.5451, Accuracy 0.5422, TPR@5% FPR of 0.0507
Max_5.0% renyi_inf   AUC 0.5563, Accuracy 0.5524, TPR@5% FPR of 0.0507
Max_10.0% renyi_05   AUC 0.5629, Accuracy 0.5557, TPR@5% FPR of 0.0642
Max_10.0% renyi_1   AUC 0.5583, Accuracy 0.5541, TPR@5% FPR of 0.0608
Max_10.0% renyi_2   AUC 0.5529, Accuracy 0.5456, TPR@5% FPR of 0.0507
Max_10.0% renyi_inf   AUC 0.5608, Accuracy 0.5608, TPR@5% FPR of 0.0676
Max_20.0% renyi_05   AUC 0.5606, Accuracy 0.5676, TPR@5% FPR of 0.0574
Max_20.0% renyi_1   AUC 0.5566, Accuracy 0.5693, TPR@5% FPR of 0.0608
Max_20.0% renyi_2   AUC 0.5526, Accuracy 0.5574, TPR@5% FPR of 0.0405
Max_20.0% renyi_inf   AUC 0.5574, Accuracy 0.5507, TPR@5% FPR of 0.0709
Max_30.0% renyi_05   AUC 0.5568, Accuracy 0.5693, TPR@5% FPR of 0.0642
Max_30.0% renyi_1   AUC 0.5537, Accuracy 0.5693, TPR@5% FPR of 0.0642
Max_30.0% renyi_2   AUC 0.5482, Accuracy 0.5625, TPR@5% FPR of 0.0777
Max_30.0% renyi_inf   AUC 0.5555, Accuracy 0.5591, TPR@5% FPR of 0.0642
Max_40.0% renyi_05   AUC 0.5552, Accuracy 0.5726, TPR@5% FPR of 0.0743
Max_40.0% renyi_1   AUC 0.5490, Accuracy 0.5676, TPR@5% FPR of 0.0676
Max_40.0% renyi_2   AUC 0.5486, Accuracy 0.5591, TPR@5% FPR of 0.0709
Max_40.0% renyi_inf   AUC 0.5558, Accuracy 0.5574, TPR@5% FPR of 0.0574
Max_50.0% renyi_05   AUC 0.5595, Accuracy 0.5726, TPR@5% FPR of 0.0811
Max_50.0% renyi_1   AUC 0.5465, Accuracy 0.5625, TPR@5% FPR of 0.0743
Max_50.0% renyi_2   AUC 0.5487, Accuracy 0.5507, TPR@5% FPR of 0.0743
Max_50.0% renyi_inf   AUC 0.5547, Accuracy 0.5574, TPR@5% FPR of 0.0743
Max_60.0% renyi_05   AUC 0.5614, Accuracy 0.5794, TPR@5% FPR of 0.0845
Max_60.0% renyi_1   AUC 0.5483, Accuracy 0.5659, TPR@5% FPR of 0.0811
Max_60.0% renyi_2   AUC 0.5494, Accuracy 0.5557, TPR@5% FPR of 0.0878
Max_60.0% renyi_inf   AUC 0.5551, Accuracy 0.5524, TPR@5% FPR of 0.0878
Max_70.0% renyi_05   AUC 0.5632, Accuracy 0.5726, TPR@5% FPR of 0.0777
Max_70.0% renyi_1   AUC 0.5522, Accuracy 0.5625, TPR@5% FPR of 0.0777
Max_70.0% renyi_2   AUC 0.5524, Accuracy 0.5574, TPR@5% FPR of 0.0980
Max_70.0% renyi_inf   AUC 0.5570, Accuracy 0.5524, TPR@5% FPR of 0.0811
Max_80.0% renyi_05   AUC 0.5652, Accuracy 0.5811, TPR@5% FPR of 0.0912
Max_80.0% renyi_1   AUC 0.5571, Accuracy 0.5676, TPR@5% FPR of 0.0811
Max_80.0% renyi_2   AUC 0.5554, Accuracy 0.5574, TPR@5% FPR of 0.1014
Max_80.0% renyi_inf   AUC 0.5599, Accuracy 0.5541, TPR@5% FPR of 0.0811
Max_90.0% renyi_05   AUC 0.5706, Accuracy 0.5845, TPR@5% FPR of 0.0946
Max_90.0% renyi_1   AUC 0.5607, Accuracy 0.5777, TPR@5% FPR of 0.0811
Max_90.0% renyi_2   AUC 0.5586, Accuracy 0.5625, TPR@5% FPR of 0.1014
Max_90.0% renyi_inf   AUC 0.5623, Accuracy 0.5591, TPR@5% FPR of 0.0811
Max_100% renyi_05   AUC 0.5754, Accuracy 0.5912, TPR@5% FPR of 0.0946
Max_100% renyi_1   AUC 0.5635, Accuracy 0.5828, TPR@5% FPR of 0.0811
Max_100% renyi_2   AUC 0.5601, Accuracy 0.5625, TPR@5% FPR of 0.1014
Max_100% renyi_inf   AUC 0.5637, Accuracy 0.5625, TPR@5% FPR of 0.0811
Min_0% renyi_05   AUC 0.5672, Accuracy 0.5726, TPR@5% FPR of 0.0473
Min_0% renyi_1   AUC 0.5553, Accuracy 0.5760, TPR@5% FPR of 0.0642
Min_0% renyi_2   AUC 0.5531, Accuracy 0.5693, TPR@5% FPR of 0.0608
Min_0% renyi_inf   AUC 0.5530, Accuracy 0.5693, TPR@5% FPR of 0.0608
Min_5.0% renyi_05   AUC 0.5672, Accuracy 0.5726, TPR@5% FPR of 0.0473
Min_5.0% renyi_1   AUC 0.5553, Accuracy 0.5760, TPR@5% FPR of 0.0642
Min_5.0% renyi_2   AUC 0.5531, Accuracy 0.5693, TPR@5% FPR of 0.0608
Min_5.0% renyi_inf   AUC 0.5530, Accuracy 0.5693, TPR@5% FPR of 0.0608
Min_10.0% renyi_05   AUC 0.5972, Accuracy 0.5946, TPR@5% FPR of 0.0507
Min_10.0% renyi_1   AUC 0.5942, Accuracy 0.5963, TPR@5% FPR of 0.0405
Min_10.0% renyi_2   AUC 0.5944, Accuracy 0.5929, TPR@5% FPR of 0.0473
Min_10.0% renyi_inf   AUC 0.5943, Accuracy 0.5929, TPR@5% FPR of 0.0473
Min_20.0% renyi_05   AUC 0.6018, Accuracy 0.5878, TPR@5% FPR of 0.0676
Min_20.0% renyi_1   AUC 0.6067, Accuracy 0.5912, TPR@5% FPR of 0.0372
