aug_kl   AUC 0.4722, Accuracy 0.5118, TPR@5% FPR of 0.0541
ppl   AUC 0.4479, Accuracy 0.5084, TPR@5% FPR of 0.0574
Min_0% Prob   AUC 0.4820, Accuracy 0.5203, TPR@5% FPR of 0.0811
Min_5.0% Prob   AUC 0.4339, Accuracy 0.5203, TPR@5% FPR of 0.0642
Min_10.0% Prob   AUC 0.4247, Accuracy 0.5101, TPR@5% FPR of 0.0405
Min_20.0% Prob   AUC 0.3529, Accuracy 0.5068, TPR@5% FPR of 0.0304
Min_30.0% Prob   AUC 0.3577, Accuracy 0.5051, TPR@5% FPR of 0.0405
Min_40.0% Prob   AUC 0.3758, Accuracy 0.5017, TPR@5% FPR of 0.0507
Min_50.0% Prob   AUC 0.3960, Accuracy 0.5051, TPR@5% FPR of 0.0439
Min_60.0% Prob   AUC 0.4143, Accuracy 0.5051, TPR@5% FPR of 0.0541
Min_70.0% Prob   AUC 0.4327, Accuracy 0.5084, TPR@5% FPR of 0.0507
Min_80.0% Prob   AUC 0.4424, Accuracy 0.5084, TPR@5% FPR of 0.0574
Min_90.0% Prob   AUC 0.4469, Accuracy 0.5084, TPR@5% FPR of 0.0574
Modified_entropy   AUC 0.4245, Accuracy 0.5051, TPR@5% FPR of 0.0574
Modified_renyi_05   AUC 0.5228, Accuracy 0.5355, TPR@5% FPR of 0.0405
Modified_renyi_2   AUC 0.5361, Accuracy 0.5439, TPR@5% FPR of 0.0541
Max_Prob_Gap   AUC 0.6020, Accuracy 0.5878, TPR@5% FPR of 0.0642
Max_0% renyi_05   AUC 0.5975, Accuracy 0.5794, TPR@5% FPR of 0.0845
Max_0% renyi_1   AUC 0.5760, Accuracy 0.5760, TPR@5% FPR of 0.0439
Max_0% renyi_2   AUC 0.5584, Accuracy 0.5557, TPR@5% FPR of 0.0541
Max_0% renyi_inf   AUC 0.5668, Accuracy 0.5642, TPR@5% FPR of 0.0676
Max_5.0% renyi_05   AUC 0.6108, Accuracy 0.5845, TPR@5% FPR of 0.0912
Max_5.0% renyi_1   AUC 0.5842, Accuracy 0.5845, TPR@5% FPR of 0.0507
Max_5.0% renyi_2   AUC 0.5758, Accuracy 0.5625, TPR@5% FPR of 0.0642
Max_5.0% renyi_inf   AUC 0.5765, Accuracy 0.5625, TPR@5% FPR of 0.0743
Max_10.0% renyi_05   AUC 0.6475, Accuracy 0.6182, TPR@5% FPR of 0.0946
Max_10.0% renyi_1   AUC 0.5863, Accuracy 0.5811, TPR@5% FPR of 0.0642
Max_10.0% renyi_2   AUC 0.5745, Accuracy 0.5591, TPR@5% FPR of 0.0676
Max_10.0% renyi_inf   AUC 0.5795, Accuracy 0.5760, TPR@5% FPR of 0.0912
Max_20.0% renyi_05   AUC 0.6138, Accuracy 0.6030, TPR@5% FPR of 0.0743
Max_20.0% renyi_1   AUC 0.5887, Accuracy 0.5743, TPR@5% FPR of 0.0676
Max_20.0% renyi_2   AUC 0.5759, Accuracy 0.5591, TPR@5% FPR of 0.0811
Max_20.0% renyi_inf   AUC 0.5802, Accuracy 0.5709, TPR@5% FPR of 0.1115
Max_30.0% renyi_05   AUC 0.5920, Accuracy 0.5895, TPR@5% FPR of 0.0507
