aug_kl   AUC 0.5045, Accuracy 0.5183, TPR@5% FPR of 0.0400
ppl   AUC 0.5589, Accuracy 0.5483, TPR@5% FPR of 0.0700
Min_0% Prob   AUC 0.3573, Accuracy 0.5017, TPR@5% FPR of 0.0233
Min_5.0% Prob   AUC 0.3742, Accuracy 0.5083, TPR@5% FPR of 0.0067
Min_10.0% Prob   AUC 0.3897, Accuracy 0.5033, TPR@5% FPR of 0.0133
Min_20.0% Prob   AUC 0.3698, Accuracy 0.5017, TPR@5% FPR of 0.0033
Min_30.0% Prob   AUC 0.4282, Accuracy 0.5000, TPR@5% FPR of 0.0200
Min_40.0% Prob   AUC 0.4706, Accuracy 0.5017, TPR@5% FPR of 0.0467
Min_50.0% Prob   AUC 0.4971, Accuracy 0.5133, TPR@5% FPR of 0.0667
Min_60.0% Prob   AUC 0.5210, Accuracy 0.5233, TPR@5% FPR of 0.0867
Min_70.0% Prob   AUC 0.5440, Accuracy 0.5433, TPR@5% FPR of 0.0733
Min_80.0% Prob   AUC 0.5541, Accuracy 0.5483, TPR@5% FPR of 0.0733
Min_90.0% Prob   AUC 0.5585, Accuracy 0.5483, TPR@5% FPR of 0.0700
Modified_entropy   AUC 0.5018, Accuracy 0.5133, TPR@5% FPR of 0.0700
Modified_renyi_05   AUC 0.6140, Accuracy 0.5850, TPR@5% FPR of 0.1100
Modified_renyi_2   AUC 0.6109, Accuracy 0.5867, TPR@5% FPR of 0.1167
Max_Prob_Gap   AUC 0.6500, Accuracy 0.6283, TPR@5% FPR of 0.1600
Max_0% renyi_05   AUC 0.6892, Accuracy 0.6617, TPR@5% FPR of 0.2000
Max_0% renyi_1   AUC 0.7252, Accuracy 0.6950, TPR@5% FPR of 0.1667
Max_0% renyi_2   AUC 0.7050, Accuracy 0.6767, TPR@5% FPR of 0.1500
Max_0% renyi_inf   AUC 0.6741, Accuracy 0.6367, TPR@5% FPR of 0.1700
Max_5.0% renyi_05   AUC 0.6937, Accuracy 0.6667, TPR@5% FPR of 0.1667
Max_5.0% renyi_1   AUC 0.7429, Accuracy 0.7067, TPR@5% FPR of 0.1367
Max_5.0% renyi_2   AUC 0.7186, Accuracy 0.6917, TPR@5% FPR of 0.1067
Max_5.0% renyi_inf   AUC 0.6901, Accuracy 0.6517, TPR@5% FPR of 0.1767
Max_10.0% renyi_05   AUC 0.7188, Accuracy 0.6717, TPR@5% FPR of 0.1400
Max_10.0% renyi_1   AUC 0.7433, Accuracy 0.6983, TPR@5% FPR of 0.1200
Max_10.0% renyi_2   AUC 0.7247, Accuracy 0.6883, TPR@5% FPR of 0.1033
Max_10.0% renyi_inf   AUC 0.6986, Accuracy 0.6717, TPR@5% FPR of 0.1133
Max_20.0% renyi_05   AUC 0.7296, Accuracy 0.6850, TPR@5% FPR of 0.1867
Max_20.0% renyi_1   AUC 0.7303, Accuracy 0.6833, TPR@5% FPR of 0.0733
Max_20.0% renyi_2   AUC 0.7148, Accuracy 0.6767, TPR@5% FPR of 0.0833
Max_20.0% renyi_inf   AUC 0.6969, Accuracy 0.6683, TPR@5% FPR of 0.1433
Max_30.0% renyi_05   AUC 0.7258, Accuracy 0.6767, TPR@5% FPR of 0.1700
Max_30.0% renyi_1   AUC 0.7262, Accuracy 0.6800, TPR@5% FPR of 0.0733
Max_30.0% renyi_2   AUC 0.7110, Accuracy 0.6650, TPR@5% FPR of 0.1333
Max_30.0% renyi_inf   AUC 0.6897, Accuracy 0.6517, TPR@5% FPR of 0.1467
Max_40.0% renyi_05   AUC 0.7298, Accuracy 0.6800, TPR@5% FPR of 0.1733
Max_40.0% renyi_1   AUC 0.7257, Accuracy 0.6783, TPR@5% FPR of 0.1033
Max_40.0% renyi_2   AUC 0.7053, Accuracy 0.6650, TPR@5% FPR of 0.1100
Max_40.0% renyi_inf   AUC 0.6841, Accuracy 0.6483, TPR@5% FPR of 0.1400
