aug_kl   AUC 0.5830, Accuracy 0.5750, TPR@5% FPR of 0.1167
ppl   AUC 0.5761, Accuracy 0.5667, TPR@5% FPR of 0.0600
Min_0% Prob   AUC 0.4994, Accuracy 0.5283, TPR@5% FPR of 0.0367
Min_5.0% Prob   AUC 0.4994, Accuracy 0.5283, TPR@5% FPR of 0.0367
Min_10.0% Prob   AUC 0.5311, Accuracy 0.5600, TPR@5% FPR of 0.0200
Min_20.0% Prob   AUC 0.5709, Accuracy 0.5733, TPR@5% FPR of 0.0533
Min_30.0% Prob   AUC 0.5911, Accuracy 0.5917, TPR@5% FPR of 0.0400
Min_40.0% Prob   AUC 0.5929, Accuracy 0.5933, TPR@5% FPR of 0.0400
Min_50.0% Prob   AUC 0.5894, Accuracy 0.5883, TPR@5% FPR of 0.0400
Min_60.0% Prob   AUC 0.5843, Accuracy 0.5850, TPR@5% FPR of 0.0433
Min_70.0% Prob   AUC 0.5806, Accuracy 0.5850, TPR@5% FPR of 0.0367
Min_80.0% Prob   AUC 0.5783, Accuracy 0.5867, TPR@5% FPR of 0.0467
Min_90.0% Prob   AUC 0.5785, Accuracy 0.5800, TPR@5% FPR of 0.0500
Modified_entropy   AUC 0.5763, Accuracy 0.5733, TPR@5% FPR of 0.0533
Modified_renyi_05   AUC 0.5622, Accuracy 0.5600, TPR@5% FPR of 0.0600
Modified_renyi_2   AUC 0.5498, Accuracy 0.5550, TPR@5% FPR of 0.0633
Max_Prob_Gap   AUC 0.4949, Accuracy 0.5233, TPR@5% FPR of 0.0667
Max_0% renyi_05   AUC 0.4356, Accuracy 0.5017, TPR@5% FPR of 0.0367
Max_0% renyi_1   AUC 0.4476, Accuracy 0.5117, TPR@5% FPR of 0.0367
Max_0% renyi_2   AUC 0.4485, Accuracy 0.5033, TPR@5% FPR of 0.0233
Max_0% renyi_inf   AUC 0.4994, Accuracy 0.5283, TPR@5% FPR of 0.0367
