aug_kl   AUC 0.6004, Accuracy 0.5917, TPR@5% FPR of 0.0633
ppl   AUC 0.5589, Accuracy 0.5700, TPR@5% FPR of 0.0600
Min_0% Prob   AUC 0.4965, Accuracy 0.5200, TPR@5% FPR of 0.0600
Min_5.0% Prob   AUC 0.4965, Accuracy 0.5200, TPR@5% FPR of 0.0600
Min_10.0% Prob   AUC 0.4965, Accuracy 0.5200, TPR@5% FPR of 0.0600
Min_20.0% Prob   AUC 0.6471, Accuracy 0.6083, TPR@5% FPR of 0.1533
Min_30.0% Prob   AUC 0.6311, Accuracy 0.6017, TPR@5% FPR of 0.1033
Min_40.0% Prob   AUC 0.6187, Accuracy 0.6067, TPR@5% FPR of 0.0833
Min_50.0% Prob   AUC 0.6196, Accuracy 0.5983, TPR@5% FPR of 0.0900
Min_60.0% Prob   AUC 0.5992, Accuracy 0.5900, TPR@5% FPR of 0.0633
Min_70.0% Prob   AUC 0.5806, Accuracy 0.5833, TPR@5% FPR of 0.0567
Min_80.0% Prob   AUC 0.5612, Accuracy 0.5700, TPR@5% FPR of 0.0600
Min_90.0% Prob   AUC 0.5603, Accuracy 0.5717, TPR@5% FPR of 0.0600
Modified_entropy   AUC 0.6391, Accuracy 0.6100, TPR@5% FPR of 0.0867
Modified_renyi_05   AUC 0.5508, Accuracy 0.5517, TPR@5% FPR of 0.0667
Modified_renyi_2   AUC 0.5252, Accuracy 0.5483, TPR@5% FPR of 0.0867
Max_Prob_Gap   AUC 0.2872, Accuracy 0.5033, TPR@5% FPR of 0.0133
Max_0% renyi_05   AUC 0.7265, Accuracy 0.6600, TPR@5% FPR of 0.1933
Max_0% renyi_1   AUC 0.5871, Accuracy 0.5900, TPR@5% FPR of 0.0433
Max_0% renyi_2   AUC 0.5267, Accuracy 0.5317, TPR@5% FPR of 0.0433
Max_0% renyi_inf   AUC 0.5256, Accuracy 0.5433, TPR@5% FPR of 0.0667
Max_5.0% renyi_05   AUC 0.7265, Accuracy 0.6600, TPR@5% FPR of 0.1933
Max_5.0% renyi_1   AUC 0.5871, Accuracy 0.5900, TPR@5% FPR of 0.0433
Max_5.0% renyi_2   AUC 0.5267, Accuracy 0.5317, TPR@5% FPR of 0.0433
Max_5.0% renyi_inf   AUC 0.5256, Accuracy 0.5433, TPR@5% FPR of 0.0667
Max_10.0% renyi_05   AUC 0.7265, Accuracy 0.6600, TPR@5% FPR of 0.1933
Max_10.0% renyi_1   AUC 0.5871, Accuracy 0.5900, TPR@5% FPR of 0.0433
Max_10.0% renyi_2   AUC 0.5267, Accuracy 0.5317, TPR@5% FPR of 0.0433
Max_10.0% renyi_inf   AUC 0.5256, Accuracy 0.5433, TPR@5% FPR of 0.0667
Max_20.0% renyi_05   AUC 0.6459, Accuracy 0.6333, TPR@5% FPR of 0.1600
Max_20.0% renyi_1   AUC 0.5882, Accuracy 0.6067, TPR@5% FPR of 0.0467
Max_20.0% renyi_2   AUC 0.5241, Accuracy 0.5583, TPR@5% FPR of 0.0500
Max_20.0% renyi_inf   AUC 0.5207, Accuracy 0.5367, TPR@5% FPR of 0.0567
Max_30.0% renyi_05   AUC 0.4832, Accuracy 0.5383, TPR@5% FPR of 0.1167
Max_30.0% renyi_1   AUC 0.4921, Accuracy 0.5283, TPR@5% FPR of 0.0500
Max_30.0% renyi_2   AUC 0.4638, Accuracy 0.5200, TPR@5% FPR of 0.0433
Max_30.0% renyi_inf   AUC 0.4717, Accuracy 0.5333, TPR@5% FPR of 0.0333
Max_40.0% renyi_05   AUC 0.4142, Accuracy 0.5300, TPR@5% FPR of 0.0900
Max_40.0% renyi_1   AUC 0.4484, Accuracy 0.5167, TPR@5% FPR of 0.0667
Max_40.0% renyi_2   AUC 0.4402, Accuracy 0.5100, TPR@5% FPR of 0.0367
Max_40.0% renyi_inf   AUC 0.4455, Accuracy 0.5133, TPR@5% FPR of 0.0367
Max_50.0% renyi_05   AUC 0.3435, Accuracy 0.5267, TPR@5% FPR of 0.0933
Max_50.0% renyi_1   AUC 0.3755, Accuracy 0.5133, TPR@5% FPR of 0.0567
Max_50.0% renyi_2   AUC 0.3767, Accuracy 0.5067, TPR@5% FPR of 0.0433
Max_50.0% renyi_inf   AUC 0.3925, Accuracy 0.5050, TPR@5% FPR of 0.0300
Max_60.0% renyi_05   AUC 0.3225, Accuracy 0.5200, TPR@5% FPR of 0.0800
Max_60.0% renyi_1   AUC 0.3460, Accuracy 0.5100, TPR@5% FPR of 0.0567
Max_60.0% renyi_2   AUC 0.3546, Accuracy 0.5050, TPR@5% FPR of 0.0333
Max_60.0% renyi_inf   AUC 0.3739, Accuracy 0.5067, TPR@5% FPR of 0.0300
Max_70.0% renyi_05   AUC 0.3034, Accuracy 0.5183, TPR@5% FPR of 0.0700
Max_70.0% renyi_1   AUC 0.3208, Accuracy 0.5100, TPR@5% FPR of 0.0467
Max_70.0% renyi_2   AUC 0.3356, Accuracy 0.5067, TPR@5% FPR of 0.0300
Max_70.0% renyi_inf   AUC 0.3575, Accuracy 0.5050, TPR@5% FPR of 0.0300
Max_80.0% renyi_05   AUC 0.2848, Accuracy 0.5133, TPR@5% FPR of 0.0533
Max_80.0% renyi_1   AUC 0.2988, Accuracy 0.5050, TPR@5% FPR of 0.0367
Max_80.0% renyi_2   AUC 0.3207, Accuracy 0.5083, TPR@5% FPR of 0.0300
Max_80.0% renyi_inf   AUC 0.3435, Accuracy 0.5050, TPR@5% FPR of 0.0267
Max_90.0% renyi_05   AUC 0.2884, Accuracy 0.5133, TPR@5% FPR of 0.0633
Max_90.0% renyi_1   AUC 0.2980, Accuracy 0.5050, TPR@5% FPR of 0.0400
Max_90.0% renyi_2   AUC 0.3205, Accuracy 0.5067, TPR@5% FPR of 0.0367
Max_90.0% renyi_inf   AUC 0.3426, Accuracy 0.5050, TPR@5% FPR of 0.0267
Max_100% renyi_05   AUC 0.3031, Accuracy 0.5150, TPR@5% FPR of 0.0700
Max_100% renyi_1   AUC 0.2976, Accuracy 0.5050, TPR@5% FPR of 0.0367
Max_100% renyi_2   AUC 0.3190, Accuracy 0.5083, TPR@5% FPR of 0.0367
Max_100% renyi_inf   AUC 0.3406, Accuracy 0.5050, TPR@5% FPR of 0.0233
Min_0% renyi_05   AUC 0.3304, Accuracy 0.5333, TPR@5% FPR of 0.1100
Min_0% renyi_1   AUC 0.2941, Accuracy 0.5167, TPR@5% FPR of 0.0667
Min_0% renyi_2   AUC 0.2919, Accuracy 0.5150, TPR@5% FPR of 0.0700
Min_0% renyi_inf   AUC 0.2919, Accuracy 0.5150, TPR@5% FPR of 0.0700
Min_5.0% renyi_05   AUC 0.3304, Accuracy 0.5333, TPR@5% FPR of 0.1100
Min_5.0% renyi_1   AUC 0.2941, Accuracy 0.5167, TPR@5% FPR of 0.0667
Min_5.0% renyi_2   AUC 0.2919, Accuracy 0.5150, TPR@5% FPR of 0.0700
Min_5.0% renyi_inf   AUC 0.2919, Accuracy 0.5150, TPR@5% FPR of 0.0700
Min_10.0% renyi_05   AUC 0.3304, Accuracy 0.5333, TPR@5% FPR of 0.1100
Min_10.0% renyi_1   AUC 0.2941, Accuracy 0.5167, TPR@5% FPR of 0.0667
Min_10.0% renyi_2   AUC 0.2919, Accuracy 0.5150, TPR@5% FPR of 0.0700
Min_10.0% renyi_inf   AUC 0.2919, Accuracy 0.5150, TPR@5% FPR of 0.0700
Min_20.0% renyi_05   AUC 0.3500, Accuracy 0.5317, TPR@5% FPR of 0.0967
Min_20.0% renyi_1   AUC 0.3280, Accuracy 0.5017, TPR@5% FPR of 0.0400
Min_20.0% renyi_2   AUC 0.3009, Accuracy 0.5000, TPR@5% FPR of 0.0267
