aug_kl   AUC 0.5760, Accuracy 0.5650, TPR@5% FPR of 0.1000
ppl   AUC 0.5673, Accuracy 0.5683, TPR@5% FPR of 0.0367
Min_0% Prob   AUC 0.4965, Accuracy 0.5200, TPR@5% FPR of 0.0600
Min_5.0% Prob   AUC 0.6471, Accuracy 0.6083, TPR@5% FPR of 0.1533
Min_10.0% Prob   AUC 0.6274, Accuracy 0.5983, TPR@5% FPR of 0.1000
Min_20.0% Prob   AUC 0.6164, Accuracy 0.6083, TPR@5% FPR of 0.0800
Min_30.0% Prob   AUC 0.6082, Accuracy 0.6050, TPR@5% FPR of 0.0733
Min_40.0% Prob   AUC 0.5978, Accuracy 0.5900, TPR@5% FPR of 0.0800
Min_50.0% Prob   AUC 0.5802, Accuracy 0.5817, TPR@5% FPR of 0.0433
Min_60.0% Prob   AUC 0.5704, Accuracy 0.5683, TPR@5% FPR of 0.0300
Min_70.0% Prob   AUC 0.5681, Accuracy 0.5717, TPR@5% FPR of 0.0333
Min_80.0% Prob   AUC 0.5674, Accuracy 0.5683, TPR@5% FPR of 0.0367
Min_90.0% Prob   AUC 0.5673, Accuracy 0.5683, TPR@5% FPR of 0.0367
Modified_entropy   AUC 0.6157, Accuracy 0.6017, TPR@5% FPR of 0.0833
Modified_renyi_05   AUC 0.5559, Accuracy 0.5583, TPR@5% FPR of 0.0500
Modified_renyi_2   AUC 0.5481, Accuracy 0.5567, TPR@5% FPR of 0.0500
Max_Prob_Gap   AUC 0.5558, Accuracy 0.5750, TPR@5% FPR of 0.0467
Max_0% renyi_05   AUC 0.7154, Accuracy 0.6533, TPR@5% FPR of 0.1800
Max_0% renyi_1   AUC 0.5658, Accuracy 0.5733, TPR@5% FPR of 0.0433
Max_0% renyi_2   AUC 0.5051, Accuracy 0.5200, TPR@5% FPR of 0.0533
Max_0% renyi_inf   AUC 0.5120, Accuracy 0.5283, TPR@5% FPR of 0.0633
Max_5.0% renyi_05   AUC 0.6381, Accuracy 0.6283, TPR@5% FPR of 0.1533
Max_5.0% renyi_1   AUC 0.5580, Accuracy 0.5800, TPR@5% FPR of 0.0300
Max_5.0% renyi_2   AUC 0.5119, Accuracy 0.5333, TPR@5% FPR of 0.0533
Max_5.0% renyi_inf   AUC 0.5162, Accuracy 0.5267, TPR@5% FPR of 0.0567
Max_10.0% renyi_05   AUC 0.4802, Accuracy 0.5267, TPR@5% FPR of 0.0967
Max_10.0% renyi_1   AUC 0.4946, Accuracy 0.5317, TPR@5% FPR of 0.0433
Max_10.0% renyi_2   AUC 0.4893, Accuracy 0.5250, TPR@5% FPR of 0.0467
Max_10.0% renyi_inf   AUC 0.5195, Accuracy 0.5417, TPR@5% FPR of 0.0367
Max_20.0% renyi_05   AUC 0.3051, Accuracy 0.5133, TPR@5% FPR of 0.0667
Max_20.0% renyi_1   AUC 0.4355, Accuracy 0.5017, TPR@5% FPR of 0.0400
Max_20.0% renyi_2   AUC 0.4763, Accuracy 0.5133, TPR@5% FPR of 0.0467
Max_20.0% renyi_inf   AUC 0.4941, Accuracy 0.5150, TPR@5% FPR of 0.0367
Max_30.0% renyi_05   AUC 0.2845, Accuracy 0.5083, TPR@5% FPR of 0.0500
Max_30.0% renyi_1   AUC 0.4217, Accuracy 0.5017, TPR@5% FPR of 0.0333
Max_30.0% renyi_2   AUC 0.4747, Accuracy 0.5050, TPR@5% FPR of 0.0400
Max_30.0% renyi_inf   AUC 0.4894, Accuracy 0.5150, TPR@5% FPR of 0.0467
Max_40.0% renyi_05   AUC 0.3071, Accuracy 0.5117, TPR@5% FPR of 0.0600
Max_40.0% renyi_1   AUC 0.4096, Accuracy 0.5017, TPR@5% FPR of 0.0333
Max_40.0% renyi_2   AUC 0.4662, Accuracy 0.5033, TPR@5% FPR of 0.0367
