aug_kl   AUC 0.4487, Accuracy 0.5051, TPR@5% FPR of 0.0372
ppl   AUC 0.5229, Accuracy 0.5372, TPR@5% FPR of 0.0912
Min_0% Prob   AUC 0.5110, Accuracy 0.5236, TPR@5% FPR of 0.0777
Min_5.0% Prob   AUC 0.5110, Accuracy 0.5236, TPR@5% FPR of 0.0777
Min_10.0% Prob   AUC 0.5032, Accuracy 0.5270, TPR@5% FPR of 0.0676
Min_20.0% Prob   AUC 0.5178, Accuracy 0.5389, TPR@5% FPR of 0.0743
Min_30.0% Prob   AUC 0.5265, Accuracy 0.5270, TPR@5% FPR of 0.0676
Min_40.0% Prob   AUC 0.5312, Accuracy 0.5338, TPR@5% FPR of 0.0676
Min_50.0% Prob   AUC 0.5290, Accuracy 0.5321, TPR@5% FPR of 0.0811
Min_60.0% Prob   AUC 0.5269, Accuracy 0.5338, TPR@5% FPR of 0.0845
Min_70.0% Prob   AUC 0.5244, Accuracy 0.5338, TPR@5% FPR of 0.0912
Min_80.0% Prob   AUC 0.5235, Accuracy 0.5389, TPR@5% FPR of 0.0912
Min_90.0% Prob   AUC 0.5229, Accuracy 0.5372, TPR@5% FPR of 0.0912
Modified_entropy   AUC 0.5275, Accuracy 0.5321, TPR@5% FPR of 0.0777
Modified_renyi_05   AUC 0.5275, Accuracy 0.5287, TPR@5% FPR of 0.0743
Modified_renyi_2   AUC 0.5280, Accuracy 0.5270, TPR@5% FPR of 0.0709
Max_Prob_Gap   AUC 0.4906, Accuracy 0.5236, TPR@5% FPR of 0.0541
Max_0% renyi_05   AUC 0.5205, Accuracy 0.5422, TPR@5% FPR of 0.0608
Max_0% renyi_1   AUC 0.5231, Accuracy 0.5321, TPR@5% FPR of 0.0642
Max_0% renyi_2   AUC 0.5275, Accuracy 0.5372, TPR@5% FPR of 0.0811
Max_0% renyi_inf   AUC 0.5150, Accuracy 0.5236, TPR@5% FPR of 0.0676
Max_5.0% renyi_05   AUC 0.5205, Accuracy 0.5422, TPR@5% FPR of 0.0608
Max_5.0% renyi_1   AUC 0.5231, Accuracy 0.5321, TPR@5% FPR of 0.0642
Max_5.0% renyi_2   AUC 0.5275, Accuracy 0.5372, TPR@5% FPR of 0.0811
Max_5.0% renyi_inf   AUC 0.5150, Accuracy 0.5236, TPR@5% FPR of 0.0676
Max_10.0% renyi_05   AUC 0.5231, Accuracy 0.5372, TPR@5% FPR of 0.0676
Max_10.0% renyi_1   AUC 0.5201, Accuracy 0.5304, TPR@5% FPR of 0.0811
Max_10.0% renyi_2   AUC 0.5106, Accuracy 0.5236, TPR@5% FPR of 0.0777
Max_10.0% renyi_inf   AUC 0.5021, Accuracy 0.5304, TPR@5% FPR of 0.0709
Max_20.0% renyi_05   AUC 0.5286, Accuracy 0.5372, TPR@5% FPR of 0.0642
Max_20.0% renyi_1   AUC 0.5217, Accuracy 0.5287, TPR@5% FPR of 0.0777
Max_20.0% renyi_2   AUC 0.5189, Accuracy 0.5287, TPR@5% FPR of 0.0676
Max_20.0% renyi_inf   AUC 0.5160, Accuracy 0.5372, TPR@5% FPR of 0.0608
Max_30.0% renyi_05   AUC 0.5250, Accuracy 0.5287, TPR@5% FPR of 0.0709
Max_30.0% renyi_1   AUC 0.5246, Accuracy 0.5287, TPR@5% FPR of 0.0676
Max_30.0% renyi_2   AUC 0.5256, Accuracy 0.5270, TPR@5% FPR of 0.0574
Max_30.0% renyi_inf   AUC 0.5251, Accuracy 0.5287, TPR@5% FPR of 0.0709
Max_40.0% renyi_05   AUC 0.5251, Accuracy 0.5338, TPR@5% FPR of 0.0845
Max_40.0% renyi_1   AUC 0.5265, Accuracy 0.5372, TPR@5% FPR of 0.0777
Max_40.0% renyi_2   AUC 0.5288, Accuracy 0.5304, TPR@5% FPR of 0.0676
Max_40.0% renyi_inf   AUC 0.5304, Accuracy 0.5338, TPR@5% FPR of 0.0608
Max_50.0% renyi_05   AUC 0.5253, Accuracy 0.5372, TPR@5% FPR of 0.0845
Max_50.0% renyi_1   AUC 0.5266, Accuracy 0.5338, TPR@5% FPR of 0.0811
Max_50.0% renyi_2   AUC 0.5279, Accuracy 0.5372, TPR@5% FPR of 0.0676
Max_50.0% renyi_inf   AUC 0.5285, Accuracy 0.5355, TPR@5% FPR of 0.0811
Max_60.0% renyi_05   AUC 0.5241, Accuracy 0.5321, TPR@5% FPR of 0.0878
Max_60.0% renyi_1   AUC 0.5246, Accuracy 0.5372, TPR@5% FPR of 0.0811
Max_60.0% renyi_2   AUC 0.5259, Accuracy 0.5372, TPR@5% FPR of 0.0709
Max_60.0% renyi_inf   AUC 0.5261, Accuracy 0.5321, TPR@5% FPR of 0.0845
Max_70.0% renyi_05   AUC 0.5215, Accuracy 0.5287, TPR@5% FPR of 0.0811
Max_70.0% renyi_1   AUC 0.5217, Accuracy 0.5372, TPR@5% FPR of 0.0743
Max_70.0% renyi_2   AUC 0.5231, Accuracy 0.5355, TPR@5% FPR of 0.0777
Max_70.0% renyi_inf   AUC 0.5242, Accuracy 0.5338, TPR@5% FPR of 0.0912
Max_80.0% renyi_05   AUC 0.5185, Accuracy 0.5270, TPR@5% FPR of 0.0777
Max_80.0% renyi_1   AUC 0.5205, Accuracy 0.5405, TPR@5% FPR of 0.0709
Max_80.0% renyi_2   AUC 0.5223, Accuracy 0.5439, TPR@5% FPR of 0.0743
Max_80.0% renyi_inf   AUC 0.5231, Accuracy 0.5372, TPR@5% FPR of 0.0878
Max_90.0% renyi_05   AUC 0.5153, Accuracy 0.5287, TPR@5% FPR of 0.0777
Max_90.0% renyi_1   AUC 0.5195, Accuracy 0.5372, TPR@5% FPR of 0.0709
Max_90.0% renyi_2   AUC 0.5218, Accuracy 0.5422, TPR@5% FPR of 0.0743
Max_90.0% renyi_inf   AUC 0.5224, Accuracy 0.5389, TPR@5% FPR of 0.0811
Max_100% renyi_05   AUC 0.5127, Accuracy 0.5270, TPR@5% FPR of 0.0743
Max_100% renyi_1   AUC 0.5192, Accuracy 0.5355, TPR@5% FPR of 0.0709
Max_100% renyi_2   AUC 0.5216, Accuracy 0.5422, TPR@5% FPR of 0.0743
Max_100% renyi_inf   AUC 0.5222, Accuracy 0.5389, TPR@5% FPR of 0.0811
Min_0% renyi_05   AUC 0.4584, Accuracy 0.5084, TPR@5% FPR of 0.0270
Min_0% renyi_1   AUC 0.4651, Accuracy 0.5118, TPR@5% FPR of 0.0473
Min_0% renyi_2   AUC 0.4663, Accuracy 0.5101, TPR@5% FPR of 0.0473
Min_0% renyi_inf   AUC 0.4664, Accuracy 0.5101, TPR@5% FPR of 0.0473
Min_5.0% renyi_05   AUC 0.4584, Accuracy 0.5084, TPR@5% FPR of 0.0270
Min_5.0% renyi_1   AUC 0.4651, Accuracy 0.5118, TPR@5% FPR of 0.0473
Min_5.0% renyi_2   AUC 0.4663, Accuracy 0.5101, TPR@5% FPR of 0.0473
Min_5.0% renyi_inf   AUC 0.4664, Accuracy 0.5101, TPR@5% FPR of 0.0473
Min_10.0% renyi_05   AUC 0.4536, Accuracy 0.5118, TPR@5% FPR of 0.0574
Min_10.0% renyi_1   AUC 0.4746, Accuracy 0.5287, TPR@5% FPR of 0.0473
Min_10.0% renyi_2   AUC 0.4778, Accuracy 0.5321, TPR@5% FPR of 0.0507
Min_10.0% renyi_inf   AUC 0.4778, Accuracy 0.5321, TPR@5% FPR of 0.0507
Min_20.0% renyi_05   AUC 0.4643, Accuracy 0.5084, TPR@5% FPR of 0.0541
Min_20.0% renyi_1   AUC 0.4779, Accuracy 0.5152, TPR@5% FPR of 0.0574
Min_20.0% renyi_2   AUC 0.4796, Accuracy 0.5118, TPR@5% FPR of 0.0541
Min_20.0% renyi_inf   AUC 0.4798, Accuracy 0.5118, TPR@5% FPR of 0.0541
