aug_kl   AUC 0.4671, Accuracy 0.5220, TPR@5% FPR of 0.0068
ppl   AUC 0.5674, Accuracy 0.5693, TPR@5% FPR of 0.0912
Min_0% Prob   AUC 0.6002, Accuracy 0.5946, TPR@5% FPR of 0.1419
Min_5.0% Prob   AUC 0.6002, Accuracy 0.5946, TPR@5% FPR of 0.1419
Min_10.0% Prob   AUC 0.6312, Accuracy 0.6149, TPR@5% FPR of 0.1622
Min_20.0% Prob   AUC 0.6259, Accuracy 0.5980, TPR@5% FPR of 0.1689
Min_30.0% Prob   AUC 0.6067, Accuracy 0.5811, TPR@5% FPR of 0.1419
Min_40.0% Prob   AUC 0.5889, Accuracy 0.5693, TPR@5% FPR of 0.1149
Min_50.0% Prob   AUC 0.5770, Accuracy 0.5608, TPR@5% FPR of 0.1284
Min_60.0% Prob   AUC 0.5716, Accuracy 0.5625, TPR@5% FPR of 0.1216
Min_70.0% Prob   AUC 0.5677, Accuracy 0.5608, TPR@5% FPR of 0.1115
Min_80.0% Prob   AUC 0.5656, Accuracy 0.5557, TPR@5% FPR of 0.1081
Min_90.0% Prob   AUC 0.5653, Accuracy 0.5608, TPR@5% FPR of 0.1014
Modified_entropy   AUC 0.5685, Accuracy 0.5608, TPR@5% FPR of 0.0878
Modified_renyi_05   AUC 0.5607, Accuracy 0.5659, TPR@5% FPR of 0.0743
Modified_renyi_2   AUC 0.5588, Accuracy 0.5557, TPR@5% FPR of 0.0743
Max_Prob_Gap   AUC 0.5975, Accuracy 0.5777, TPR@5% FPR of 0.0946
Max_0% renyi_05   AUC 0.6320, Accuracy 0.6014, TPR@5% FPR of 0.1385
Max_0% renyi_1   AUC 0.6165, Accuracy 0.5997, TPR@5% FPR of 0.1622
Max_0% renyi_2   AUC 0.6201, Accuracy 0.6132, TPR@5% FPR of 0.2027
Max_0% renyi_inf   AUC 0.6002, Accuracy 0.5946, TPR@5% FPR of 0.1419
Max_5.0% renyi_05   AUC 0.6320, Accuracy 0.6014, TPR@5% FPR of 0.1385
Max_5.0% renyi_1   AUC 0.6165, Accuracy 0.5997, TPR@5% FPR of 0.1622
Max_5.0% renyi_2   AUC 0.6201, Accuracy 0.6132, TPR@5% FPR of 0.2027
Max_5.0% renyi_inf   AUC 0.6002, Accuracy 0.5946, TPR@5% FPR of 0.1419
Max_10.0% renyi_05   AUC 0.6418, Accuracy 0.6182, TPR@5% FPR of 0.1622
Max_10.0% renyi_1   AUC 0.6452, Accuracy 0.6351, TPR@5% FPR of 0.1959
Max_10.0% renyi_2   AUC 0.6480, Accuracy 0.6199, TPR@5% FPR of 0.2061
Max_10.0% renyi_inf   AUC 0.6312, Accuracy 0.6149, TPR@5% FPR of 0.1622
Max_20.0% renyi_05   AUC 0.6564, Accuracy 0.6166, TPR@5% FPR of 0.2331
Max_20.0% renyi_1   AUC 0.6245, Accuracy 0.6064, TPR@5% FPR of 0.1926
Max_20.0% renyi_2   AUC 0.6221, Accuracy 0.5997, TPR@5% FPR of 0.1824
Max_20.0% renyi_inf   AUC 0.6259, Accuracy 0.5980, TPR@5% FPR of 0.1689
Max_30.0% renyi_05   AUC 0.7131, Accuracy 0.6757, TPR@5% FPR of 0.1723
Max_30.0% renyi_1   AUC 0.6584, Accuracy 0.6233, TPR@5% FPR of 0.1622
Max_30.0% renyi_2   AUC 0.6101, Accuracy 0.5912, TPR@5% FPR of 0.1791
Max_30.0% renyi_inf   AUC 0.6067, Accuracy 0.5811, TPR@5% FPR of 0.1419
Max_40.0% renyi_05   AUC 0.6391, Accuracy 0.6030, TPR@5% FPR of 0.0878
Max_40.0% renyi_1   AUC 0.6259, Accuracy 0.5963, TPR@5% FPR of 0.1284
Max_40.0% renyi_2   AUC 0.5933, Accuracy 0.5642, TPR@5% FPR of 0.1149
