aug_kl   AUC 0.4551, Accuracy 0.5084, TPR@5% FPR of 0.0405
ppl   AUC 0.4749, Accuracy 0.5084, TPR@5% FPR of 0.0405
Min_0% Prob   AUC 0.4534, Accuracy 0.5084, TPR@5% FPR of 0.0473
Min_5.0% Prob   AUC 0.3897, Accuracy 0.5068, TPR@5% FPR of 0.0304
Min_10.0% Prob   AUC 0.3934, Accuracy 0.5034, TPR@5% FPR of 0.0236
Min_20.0% Prob   AUC 0.4248, Accuracy 0.5084, TPR@5% FPR of 0.0068
Min_30.0% Prob   AUC 0.4399, Accuracy 0.5017, TPR@5% FPR of 0.0203
Min_40.0% Prob   AUC 0.4573, Accuracy 0.5051, TPR@5% FPR of 0.0169
Min_50.0% Prob   AUC 0.4654, Accuracy 0.5051, TPR@5% FPR of 0.0338
Min_60.0% Prob   AUC 0.4698, Accuracy 0.5034, TPR@5% FPR of 0.0338
Min_70.0% Prob   AUC 0.4728, Accuracy 0.5034, TPR@5% FPR of 0.0338
Min_80.0% Prob   AUC 0.4746, Accuracy 0.5084, TPR@5% FPR of 0.0372
Min_90.0% Prob   AUC 0.4749, Accuracy 0.5068, TPR@5% FPR of 0.0405
Modified_entropy   AUC 0.4532, Accuracy 0.5101, TPR@5% FPR of 0.0101
Modified_renyi_05   AUC 0.4997, Accuracy 0.5135, TPR@5% FPR of 0.0642
Modified_renyi_2   AUC 0.5028, Accuracy 0.5203, TPR@5% FPR of 0.0676
Max_Prob_Gap   AUC 0.4932, Accuracy 0.5203, TPR@5% FPR of 0.0777
Max_0% renyi_05   AUC 0.6133, Accuracy 0.5946, TPR@5% FPR of 0.0777
Max_0% renyi_1   AUC 0.5599, Accuracy 0.5709, TPR@5% FPR of 0.1115
Max_0% renyi_2   AUC 0.5162, Accuracy 0.5355, TPR@5% FPR of 0.0709
Max_0% renyi_inf   AUC 0.4882, Accuracy 0.5169, TPR@5% FPR of 0.0676
Max_5.0% renyi_05   AUC 0.6564, Accuracy 0.6318, TPR@5% FPR of 0.1081
Max_5.0% renyi_1   AUC 0.5737, Accuracy 0.5709, TPR@5% FPR of 0.1149
Max_5.0% renyi_2   AUC 0.5198, Accuracy 0.5507, TPR@5% FPR of 0.0980
Max_5.0% renyi_inf   AUC 0.4918, Accuracy 0.5152, TPR@5% FPR of 0.0676
Max_10.0% renyi_05   AUC 0.6573, Accuracy 0.6402, TPR@5% FPR of 0.0845
Max_10.0% renyi_1   AUC 0.5840, Accuracy 0.5676, TPR@5% FPR of 0.1318
Max_10.0% renyi_2   AUC 0.5216, Accuracy 0.5405, TPR@5% FPR of 0.0912
Max_10.0% renyi_inf   AUC 0.4976, Accuracy 0.5203, TPR@5% FPR of 0.0777
Max_20.0% renyi_05   AUC 0.6527, Accuracy 0.6351, TPR@5% FPR of 0.1149
Max_20.0% renyi_1   AUC 0.5832, Accuracy 0.5676, TPR@5% FPR of 0.1216
Max_20.0% renyi_2   AUC 0.5291, Accuracy 0.5456, TPR@5% FPR of 0.1149
Max_20.0% renyi_inf   AUC 0.5056, Accuracy 0.5270, TPR@5% FPR of 0.0709
Max_30.0% renyi_05   AUC 0.6446, Accuracy 0.6301, TPR@5% FPR of 0.1351
Max_30.0% renyi_1   AUC 0.5773, Accuracy 0.5743, TPR@5% FPR of 0.1115
