aug_kl   AUC 0.5619, Accuracy 0.5583, TPR@5% FPR of 0.0900
ppl   AUC 0.5440, Accuracy 0.5450, TPR@5% FPR of 0.0833
Min_0% Prob   AUC 0.5128, Accuracy 0.5333, TPR@5% FPR of 0.0800
Min_5.0% Prob   AUC 0.5128, Accuracy 0.5333, TPR@5% FPR of 0.0800
Min_10.0% Prob   AUC 0.5218, Accuracy 0.5517, TPR@5% FPR of 0.0667
Min_20.0% Prob   AUC 0.5373, Accuracy 0.5500, TPR@5% FPR of 0.0700
Min_30.0% Prob   AUC 0.5437, Accuracy 0.5533, TPR@5% FPR of 0.0867
Min_40.0% Prob   AUC 0.5422, Accuracy 0.5483, TPR@5% FPR of 0.0933
Min_50.0% Prob   AUC 0.5397, Accuracy 0.5450, TPR@5% FPR of 0.0767
Min_60.0% Prob   AUC 0.5405, Accuracy 0.5417, TPR@5% FPR of 0.0800
Min_70.0% Prob   AUC 0.5425, Accuracy 0.5433, TPR@5% FPR of 0.0833
Min_80.0% Prob   AUC 0.5435, Accuracy 0.5467, TPR@5% FPR of 0.0833
Min_90.0% Prob   AUC 0.5438, Accuracy 0.5450, TPR@5% FPR of 0.0833
Modified_entropy   AUC 0.5400, Accuracy 0.5433, TPR@5% FPR of 0.0767
Modified_renyi_05   AUC 0.5404, Accuracy 0.5417, TPR@5% FPR of 0.0700
Modified_renyi_2   AUC 0.5402, Accuracy 0.5417, TPR@5% FPR of 0.0700
Max_Prob_Gap   AUC 0.5796, Accuracy 0.5917, TPR@5% FPR of 0.0467
Max_0% renyi_05   AUC 0.4229, Accuracy 0.5067, TPR@5% FPR of 0.0500
Max_0% renyi_1   AUC 0.4710, Accuracy 0.5067, TPR@5% FPR of 0.0500
Max_0% renyi_2   AUC 0.4882, Accuracy 0.5150, TPR@5% FPR of 0.0467
Max_0% renyi_inf   AUC 0.5011, Accuracy 0.5233, TPR@5% FPR of 0.0633
Max_5.0% renyi_05   AUC 0.4229, Accuracy 0.5067, TPR@5% FPR of 0.0500
Max_5.0% renyi_1   AUC 0.4710, Accuracy 0.5067, TPR@5% FPR of 0.0500
Max_5.0% renyi_2   AUC 0.4882, Accuracy 0.5150, TPR@5% FPR of 0.0467
Max_5.0% renyi_inf   AUC 0.5011, Accuracy 0.5233, TPR@5% FPR of 0.0633
Max_10.0% renyi_05   AUC 0.4448, Accuracy 0.5050, TPR@5% FPR of 0.0433
Max_10.0% renyi_1   AUC 0.4946, Accuracy 0.5133, TPR@5% FPR of 0.0433
Max_10.0% renyi_2   AUC 0.5008, Accuracy 0.5300, TPR@5% FPR of 0.0633
Max_10.0% renyi_inf   AUC 0.5127, Accuracy 0.5400, TPR@5% FPR of 0.0700
Max_20.0% renyi_05   AUC 0.4621, Accuracy 0.5067, TPR@5% FPR of 0.0300
Max_20.0% renyi_1   AUC 0.5120, Accuracy 0.5267, TPR@5% FPR of 0.0433
Max_20.0% renyi_2   AUC 0.5191, Accuracy 0.5317, TPR@5% FPR of 0.0633
Max_20.0% renyi_inf   AUC 0.5299, Accuracy 0.5433, TPR@5% FPR of 0.0733
Max_30.0% renyi_05   AUC 0.4725, Accuracy 0.5117, TPR@5% FPR of 0.0267
Max_30.0% renyi_1   AUC 0.5180, Accuracy 0.5333, TPR@5% FPR of 0.0467
Max_30.0% renyi_2   AUC 0.5278, Accuracy 0.5383, TPR@5% FPR of 0.0633
Max_30.0% renyi_inf   AUC 0.5387, Accuracy 0.5450, TPR@5% FPR of 0.0767
Max_40.0% renyi_05   AUC 0.4764, Accuracy 0.5150, TPR@5% FPR of 0.0300
Max_40.0% renyi_1   AUC 0.5248, Accuracy 0.5350, TPR@5% FPR of 0.0500
Max_40.0% renyi_2   AUC 0.5303, Accuracy 0.5400, TPR@5% FPR of 0.0800
Max_40.0% renyi_inf   AUC 0.5379, Accuracy 0.5450, TPR@5% FPR of 0.0800
Max_50.0% renyi_05   AUC 0.4762, Accuracy 0.5150, TPR@5% FPR of 0.0333
Max_50.0% renyi_1   AUC 0.5301, Accuracy 0.5433, TPR@5% FPR of 0.0733
Max_50.0% renyi_2   AUC 0.5324, Accuracy 0.5350, TPR@5% FPR of 0.0900
