aug_kl   AUC 0.5324, Accuracy 0.5450, TPR@5% FPR of 0.0333
ppl   AUC 0.3778, Accuracy 0.5017, TPR@5% FPR of 0.0067
Min_0% Prob   AUC 0.3573, Accuracy 0.5017, TPR@5% FPR of 0.0233
Min_5.0% Prob   AUC 0.3573, Accuracy 0.5017, TPR@5% FPR of 0.0233
Min_10.0% Prob   AUC 0.3573, Accuracy 0.5017, TPR@5% FPR of 0.0233
Min_20.0% Prob   AUC 0.3742, Accuracy 0.5083, TPR@5% FPR of 0.0067
Min_30.0% Prob   AUC 0.3897, Accuracy 0.5033, TPR@5% FPR of 0.0133
Min_40.0% Prob   AUC 0.3938, Accuracy 0.5033, TPR@5% FPR of 0.0067
Min_50.0% Prob   AUC 0.3760, Accuracy 0.5017, TPR@5% FPR of 0.0067
Min_60.0% Prob   AUC 0.3646, Accuracy 0.5017, TPR@5% FPR of 0.0033
Min_70.0% Prob   AUC 0.3698, Accuracy 0.5017, TPR@5% FPR of 0.0033
Min_80.0% Prob   AUC 0.3795, Accuracy 0.5017, TPR@5% FPR of 0.0067
Min_90.0% Prob   AUC 0.3778, Accuracy 0.5017, TPR@5% FPR of 0.0067
Modified_entropy   AUC 0.3588, Accuracy 0.5000, TPR@5% FPR of 0.0067
Modified_renyi_05   AUC 0.3675, Accuracy 0.5000, TPR@5% FPR of 0.0033
Modified_renyi_2   AUC 0.3702, Accuracy 0.5000, TPR@5% FPR of 0.0033
Max_Prob_Gap   AUC 0.6006, Accuracy 0.5833, TPR@5% FPR of 0.0833
Max_0% renyi_05   AUC 0.6892, Accuracy 0.6617, TPR@5% FPR of 0.2033
Max_0% renyi_1   AUC 0.7076, Accuracy 0.6833, TPR@5% FPR of 0.1333
Max_0% renyi_2   AUC 0.6818, Accuracy 0.6567, TPR@5% FPR of 0.1133
Max_0% renyi_inf   AUC 0.6464, Accuracy 0.6417, TPR@5% FPR of 0.0967
Max_5.0% renyi_05   AUC 0.6892, Accuracy 0.6617, TPR@5% FPR of 0.2033
Max_5.0% renyi_1   AUC 0.7076, Accuracy 0.6833, TPR@5% FPR of 0.1333
Max_5.0% renyi_2   AUC 0.6818, Accuracy 0.6567, TPR@5% FPR of 0.1133
Max_5.0% renyi_inf   AUC 0.6464, Accuracy 0.6417, TPR@5% FPR of 0.0967
Max_10.0% renyi_05   AUC 0.6892, Accuracy 0.6617, TPR@5% FPR of 0.2033
Max_10.0% renyi_1   AUC 0.7076, Accuracy 0.6833, TPR@5% FPR of 0.1333
Max_10.0% renyi_2   AUC 0.6818, Accuracy 0.6567, TPR@5% FPR of 0.1133
Max_10.0% renyi_inf   AUC 0.6464, Accuracy 0.6417, TPR@5% FPR of 0.0967
Max_20.0% renyi_05   AUC 0.6906, Accuracy 0.6633, TPR@5% FPR of 0.1700
Max_20.0% renyi_1   AUC 0.7085, Accuracy 0.6850, TPR@5% FPR of 0.1200
Max_20.0% renyi_2   AUC 0.6889, Accuracy 0.6600, TPR@5% FPR of 0.0833
Max_20.0% renyi_inf   AUC 0.6578, Accuracy 0.6367, TPR@5% FPR of 0.1100
Max_30.0% renyi_05   AUC 0.7082, Accuracy 0.6667, TPR@5% FPR of 0.1400
Max_30.0% renyi_1   AUC 0.7087, Accuracy 0.6767, TPR@5% FPR of 0.1000
Max_30.0% renyi_2   AUC 0.6867, Accuracy 0.6583, TPR@5% FPR of 0.0800
Max_30.0% renyi_inf   AUC 0.6637, Accuracy 0.6467, TPR@5% FPR of 0.1000
Max_40.0% renyi_05   AUC 0.7122, Accuracy 0.6750, TPR@5% FPR of 0.1333
Max_40.0% renyi_1   AUC 0.7084, Accuracy 0.6750, TPR@5% FPR of 0.0933
Max_40.0% renyi_2   AUC 0.6853, Accuracy 0.6483, TPR@5% FPR of 0.0800
Max_40.0% renyi_inf   AUC 0.6628, Accuracy 0.6400, TPR@5% FPR of 0.1033
Max_50.0% renyi_05   AUC 0.7196, Accuracy 0.6767, TPR@5% FPR of 0.1700
Max_50.0% renyi_1   AUC 0.7181, Accuracy 0.6883, TPR@5% FPR of 0.1100
Max_50.0% renyi_2   AUC 0.6834, Accuracy 0.6517, TPR@5% FPR of 0.0800
Max_50.0% renyi_inf   AUC 0.6582, Accuracy 0.6300, TPR@5% FPR of 0.1033
Max_60.0% renyi_05   AUC 0.7220, Accuracy 0.6833, TPR@5% FPR of 0.1933
