aug_kl   AUC 0.4840, Accuracy 0.5186, TPR@5% FPR of 0.0608
ppl   AUC 0.4043, Accuracy 0.5051, TPR@5% FPR of 0.0338
Min_0% Prob   AUC 0.4534, Accuracy 0.5084, TPR@5% FPR of 0.0473
Min_5.0% Prob   AUC 0.4534, Accuracy 0.5084, TPR@5% FPR of 0.0473
Min_10.0% Prob   AUC 0.4534, Accuracy 0.5084, TPR@5% FPR of 0.0473
Min_20.0% Prob   AUC 0.3897, Accuracy 0.5068, TPR@5% FPR of 0.0304
Min_30.0% Prob   AUC 0.3967, Accuracy 0.5034, TPR@5% FPR of 0.0304
Min_40.0% Prob   AUC 0.4186, Accuracy 0.5017, TPR@5% FPR of 0.0236
Min_50.0% Prob   AUC 0.4036, Accuracy 0.5034, TPR@5% FPR of 0.0270
Min_60.0% Prob   AUC 0.4027, Accuracy 0.5034, TPR@5% FPR of 0.0304
Min_70.0% Prob   AUC 0.4019, Accuracy 0.5034, TPR@5% FPR of 0.0338
Min_80.0% Prob   AUC 0.4028, Accuracy 0.5034, TPR@5% FPR of 0.0372
Min_90.0% Prob   AUC 0.4033, Accuracy 0.5034, TPR@5% FPR of 0.0338
Modified_entropy   AUC 0.3968, Accuracy 0.5000, TPR@5% FPR of 0.0135
Modified_renyi_05   AUC 0.4446, Accuracy 0.5135, TPR@5% FPR of 0.0541
Modified_renyi_2   AUC 0.4355, Accuracy 0.5101, TPR@5% FPR of 0.0405
Max_Prob_Gap   AUC 0.5053, Accuracy 0.5287, TPR@5% FPR of 0.0541
Max_0% renyi_05   AUC 0.6180, Accuracy 0.5980, TPR@5% FPR of 0.0845
Max_0% renyi_1   AUC 0.5569, Accuracy 0.5726, TPR@5% FPR of 0.1047
Max_0% renyi_2   AUC 0.5148, Accuracy 0.5372, TPR@5% FPR of 0.0743
Max_0% renyi_inf   AUC 0.4816, Accuracy 0.5270, TPR@5% FPR of 0.0811
Max_5.0% renyi_05   AUC 0.6180, Accuracy 0.5980, TPR@5% FPR of 0.0845
Max_5.0% renyi_1   AUC 0.5569, Accuracy 0.5726, TPR@5% FPR of 0.1047
Max_5.0% renyi_2   AUC 0.5148, Accuracy 0.5372, TPR@5% FPR of 0.0743
Max_5.0% renyi_inf   AUC 0.4816, Accuracy 0.5270, TPR@5% FPR of 0.0811
Max_10.0% renyi_05   AUC 0.6180, Accuracy 0.5980, TPR@5% FPR of 0.0845
Max_10.0% renyi_1   AUC 0.5569, Accuracy 0.5726, TPR@5% FPR of 0.1047
Max_10.0% renyi_2   AUC 0.5148, Accuracy 0.5372, TPR@5% FPR of 0.0743
Max_10.0% renyi_inf   AUC 0.4816, Accuracy 0.5270, TPR@5% FPR of 0.0811
Max_20.0% renyi_05   AUC 0.6566, Accuracy 0.6284, TPR@5% FPR of 0.1081
Max_20.0% renyi_1   AUC 0.5863, Accuracy 0.5726, TPR@5% FPR of 0.1385
Max_20.0% renyi_2   AUC 0.5260, Accuracy 0.5473, TPR@5% FPR of 0.1047
Max_20.0% renyi_inf   AUC 0.4957, Accuracy 0.5236, TPR@5% FPR of 0.0574
Max_30.0% renyi_05   AUC 0.6600, Accuracy 0.6503, TPR@5% FPR of 0.0912
Max_30.0% renyi_1   AUC 0.6100, Accuracy 0.5946, TPR@5% FPR of 0.1047
Max_30.0% renyi_2   AUC 0.5384, Accuracy 0.5557, TPR@5% FPR of 0.0878
Max_30.0% renyi_inf   AUC 0.4992, Accuracy 0.5220, TPR@5% FPR of 0.0709
Max_40.0% renyi_05   AUC 0.6542, Accuracy 0.6368, TPR@5% FPR of 0.0811
Max_40.0% renyi_1   AUC 0.6100, Accuracy 0.5895, TPR@5% FPR of 0.1014
Max_40.0% renyi_2   AUC 0.5357, Accuracy 0.5490, TPR@5% FPR of 0.0777
Max_40.0% renyi_inf   AUC 0.4979, Accuracy 0.5186, TPR@5% FPR of 0.0743
Max_50.0% renyi_05   AUC 0.6534, Accuracy 0.6334, TPR@5% FPR of 0.0878
Max_50.0% renyi_1   AUC 0.6031, Accuracy 0.5912, TPR@5% FPR of 0.0878
Max_50.0% renyi_2   AUC 0.5435, Accuracy 0.5608, TPR@5% FPR of 0.0709
Max_50.0% renyi_inf   AUC 0.5091, Accuracy 0.5304, TPR@5% FPR of 0.0574
Max_60.0% renyi_05   AUC 0.6530, Accuracy 0.6368, TPR@5% FPR of 0.0980
Max_60.0% renyi_1   AUC 0.6035, Accuracy 0.5878, TPR@5% FPR of 0.1014
Max_60.0% renyi_2   AUC 0.5465, Accuracy 0.5608, TPR@5% FPR of 0.0709
